"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1,C3","C_0805_2012Metric","C15850"
"4.7uF","C2,C4","C_1206_3216Metric","C29823"
"100nF","C7,C6,C5","C_0402_1005Metric","C1525"
"47uF","C8,C9","C_1206_3216Metric","C96123"
"10uF HiZ","C10","C_1206_3216Metric","C13585"
"1uF","C11,C12","C_0402_1005Metric","C52923"
"LED","D1,D3,D5,D7,D9,D11,D13,D15","PLCC-2","C210310"
"LEDC","D2,D4,D6,D8,D10,D12,D14,D16","PLCC-2","C210314"
"SS210","D17,D18","D_SMA","C14996"
"1kR@100MHz","FB1","L_1206_3216Metric","C139169"
"47uH","L1,L2","MWSA0603S","C408455"
"2.4R","R1,R2","R_0805_2012Metric","C17528"
"5.1kR","R3,R4,R7,R8","R_0402_1005Metric","C25905"
"470R","R5,R6","R_0402_1005Metric","C25117"
"WARM","SW1","TS-1187A-X-X-X","C318889"
"COLD","SW2","TS-1187A-X-X-X","C318889"
"BRIGHT","SW3","TS-1187A-X-X-X","C318889"
"DIM","SW4","TS-1187A-X-X-X","C318889"
"SY7200A","U1,U2","SOT-23-6","C107309"
"STM32F030F4Px","U3","TSSOP-20_4.4x6.5mm_P0.65mm","C89040"
"XC6206PxxxMR","U4","SOT-23","C5446"
